name,ric,currency,org_permid,isin
ASPIAL CORPORATION,ASPA.SI,S$,4295887897.0,SG1G71871634
ATLANTIC NAVIGATION HLDG,ATLA.SI,S$,4295864996.0,SG2F00983534
AUDIENCE ANALYTICS,AUDI.SI,S$,5081080921.0,SGXE74394474
AUSGROUP SUSP - SUSP.10/11/22,AUSG.SI,S$,4295887827.0,SG1R38924838
AUTAGCO,AUTA.SI,S$,4295887793.0,SG1DF7000002
AVARGA,AVAR.SI,S$,4295887984.0,SGXE98222768
AZEUS SYSTEMS HDG.,AZEU.SI,S$,4295888165.0,BMG075391109
BAKER TECHNOLOGY,BATE.SI,S$,4295887593.0,SG1CI3000002
BANYAN TREE HDG.,BANY.SI,S$,4295888122.0,SG1T49930665
BASEL MEDICAL GROUP,BMGL.O,U$,5087158351.0,VGG0864B1031
BELIVE HOLDINGS,BLIV.O,U$,5044611574.0,KYG096751022
BH GLOBAL,BHGC.SI,S$,4295887840.0,SG1CF8000003
BLACKGOLD NATURAL RES. SUSP - SUSP.15/06/23,BLAC.SI,S$,4295887711.0,SG1AH0000001
BRITISH & MALAYAN HLDG,BMHL.SI,S$,4295887875.0,SG1DI0000003
BROMAT HOLDINGS,BROM.SI,S$,5059028776.0,SGXE18744354
CAPTII,CAPT.SI,S$,4295888148.0,SG1BA0000004
CASA HOLDINGS,CASA.SI,S$,4295887862.0,SG1B93012089
CH OFFSHORE,CHOF.SI,S$,4295888013.0,SG1N22909146
CHASEN HOLDINGS,CHHL.SI,S$,4295888186.0,SG1X55941717
CHINA FISHERY GROUP SUSP - SUSP.01/02/16,CNFG.SI,S$,4295865416.0,KYG211001212
CHINA KANGDA FOOD,CKFC.SI,S$,4295864833.0,BMG2110F1023
CHINA MINING INTL.,CMIL.SI,S$,4295864879.0,KYG211721207
CHINA SUNSINE CHM.HDG.,CHSN.SI,S$,4295864842.0,SGXE54479022
COLIWOO HOLDINGS,COLI.SI,S$,5079239206.0,SGXE36049950
CONCORDE INTERNATIONAL GROUP A,CIGL.O,U$,5090603589.0,VGG2452S1002
CORTINA HDG.,CORT.SI,S$,4295888001.0,SG1M59904946
COSCO SHIPPING INTERNATIONAL,COSC.SI,S$,4295887526.0,SG1S76928401
CSC HOLDINGS,CSCH.SI,S$,4295887864.0,SG1F84861094
CUPRINA HOLDINGS CAYMAN A,CUPR.O,U$,5087110984.0,KYG2592E1026
DAIWA HOUSE LOGISTICS TRUST,DAIW.SI,S$,5081472615.0,SGXC62140063
DASIN RETAIL TRUST SUSP - SUSP.21/07/25,DASI.SI,S$,5052795191.0,SG1DE2000000
DELFI,DELF.SI,S$,4295888128.0,SG1Q25921608
DELIXY HOLDINGS,DLXY.O,U$,5090719909.0,KYG2703G1038
DIGITAL CORE REIT UNITS,DIGT.SI,U$,5081486597.0,SGXC50067435
DISA,DISA.SI,S$,4295887455.0,SG0532000247
EC WORLD REAL ESTATE INVESTMENT TRUST,ECWO.SI,S$,5052123002.0,SG1DA7000003
ECOWISE HOLDINGS,ECOW.SI,S$,4295888168.0,SG1N88910129
EDITION,EDIT.SI,S$,4295887620.0,SG1S42927578
EINDEC,EIND.SI,S$,5048818054.0,SG1CE9000005
ELITE UK REIT,ELIE.SI,£,5073141533.0,SGXC59097235
ENVICTUS INTL.HDG.,ETIK.SI,S$,4295888160.0,SG1CF4000007
EZRA HOLDINGS SUSP - SUSP.16/03/17,EZRA.SI,S$,4295888070.0,SG1O34912152
FAR EAST GROUP,FAEA.SI,S$,4298242171.0,SG2D48972988
FAR EAST ORCHARD,FARE.SI,S$,4295887555.0,SG2P56002559
FAST TRACK GROUP,FTRK.O,U$,5090617386.0,KYG333801093
FITNESS CHAMPS HOLDINGS,FCHL.O,U$,5090618052.0,KYG3580P1090
FORTRESS MINERALS,FORR.SI,S$,5068341640.0,SGXE46200569
FU YU CORPORATION,FUYU.SI,S$,4295887565.0,SG1B56010922
GALLANT VENTURE,GLVT.SI,S$,4295888175.0,SG1T37930313
GDS GLOBAL,GDSG.SI,S$,5039144985.0,SG2F65991521
GEO ENERGY RESOURCES,GEOE.SI,S$,5037850521.0,SG2F24986083
GOODLAND GROUP,GLGP.SI,S$,5000092990.0,SG1Y75948873
GP INDUSTRIES,GPEI.SI,S$,4295887585.0,SG1C12012995
GREEN BUILD TECHNOLOGY,GREE.SI,S$,4295887808.0,SG1Q40922128
GRP,GRPS.SI,S$,4295887888.0,SG0535000277
HENGXIN TECHNOLOGY,1085.HK,K$,4295863598.0,SG1T38930320
HG METAL MNFG.,HGMM.SI,S$,4295887661.0,SG1CH7000000
HGH HOLDINGS,HGHH.SI,S$,4295887408.0,SG1S12926576
HIAP HOE,HIAP.SI,S$,4295887890.0,SG1U37933462
HIAP TONG,HTCL.SI,S$,4298075199.0,SG1Z16951381
HL GLOBAL ENTERPRISES,HLGE.SI,S$,4295887450.0,SG1AI6000003
HOE LEONG CORPORATION,HLEC.SI,S$,4295887442.0,SG1S47927920
HOMESTOLIFE,HTLM.O,U$,5090555954.0,KYG458061093
HONG FOK CORPORATION,HONG.SI,S$,4295888134.0,SG1J14885763
HONG LAI HUAT GROUP,HONL.SI,S$,4295887696.0,SG1EE1000009
HRNETGROUP,HRNE.SI,S$,5056390899.0,SG1DH2000003
IFBH,6603.HK,K$,5093570034.0,SGXZ26193953
IFS CAPITAL,IFAC.SI,S$,4295887618.0,SG1A35000706
INCREDIBLE HOLDINGS SUSP - SUSP.13/09/22,INCR.SI,S$,4295887782.0,SGXE23963270
INNEOVA HOLDINGS A,INEO.O,U$,5083486288.0,KYG7776G1047
INNOTEK,INTK.SI,S$,4295887921.0,SG1F66858902
IOTHREE,IOTR.O,U$,5086996704.0,KYG4940T1123
IWOW TECHNOLOGY,IWOW.SI,S$,4297165007.0,SGXE24704236
IX BIOPHARMA,IXBI.SI,S$,5035548825.0,SG1BD9000009
JASON MARINE GROUP,JMGL.SI,S$,5000432584.0,SG1Y80949072
JB FOODS,JBFO.SI,S$,5037627512.0,SG1BH1000008
KARIN TECH.HDG.,KARI.SI,S$,4295888039.0,BMG521971033
KIM HENG,KIMH.SI,S$,5040932648.0,SG2G57000009
