company,ticker,country,Year,emissions_intensity,environmental_investment,internal_carbon_pricing
BAMBOO CAPITAL JSC,VN000000BCG5,Vietnam,2022,522.08967477,N   ,N   
BAMBOO CAPITAL JSC,VN000000BCG5,Vietnam,2023,497.57761896,N   ,N   
BAMBOO CAPITAL JSC,VN000000BCG5,Vietnam,2024,572.12359601,N   ,
BANK FOR INVDL.OF VTM.,VN000000BID9,Vietnam,2015,11861.08694976,,
BANK FOR INVDL.OF VTM.,VN000000BID9,Vietnam,2016,12271.87612135,,
BANK FOR INVDL.OF VTM.,VN000000BID9,Vietnam,2017,12601.60412868,,
BANK FOR INVDL.OF VTM.,VN000000BID9,Vietnam,2018,14064.25066648,,
BANK FOR INVDL.OF VTM.,VN000000BID9,Vietnam,2019,15196.871625,,
BANK FOR INVDL.OF VTM.,VN000000BID9,Vietnam,2020,15409.0464713,,
BANK FOR INVDL.OF VTM.,VN000000BID9,Vietnam,2021,13029.16114641,,
BANK FOR INVDL.OF VTM.,VN000000BID9,Vietnam,2022,12036.46487863,,
BANK FOR INVDL.OF VTM.,VN000000BID9,Vietnam,2023,12602.94076374,,
BANK FOR INVDL.OF VTM.,VN000000BID9,Vietnam,2024,13375.45584271,,
BAOMINH INSURANCE,VN000000BMI0,Vietnam,2015,81.50791111,,
BAOMINH INSURANCE,VN000000BMI0,Vietnam,2016,88.0214413,,
BAOMINH INSURANCE,VN000000BMI0,Vietnam,2017,82.02378502,,
BAOMINH INSURANCE,VN000000BMI0,Vietnam,2018,79.69020121,,
BAOMINH INSURANCE,VN000000BMI0,Vietnam,2019,70.59104023,,
BAOMINH INSURANCE,VN000000BMI0,Vietnam,2020,74.58442163,,
BAOMINH INSURANCE,VN000000BMI0,Vietnam,2021,96.13043136,,
BAOMINH INSURANCE,VN000000BMI0,Vietnam,2022,92.27155935,,
BAOMINH INSURANCE,VN000000BMI0,Vietnam,2023,79.44688536,,
BAOMINH INSURANCE,VN000000BMI0,Vietnam,2024,72.15763691,,
BAOVIET HOLDINGS,VN000000BVH3,Vietnam,2015,234.8022074,,
BAOVIET HOLDINGS,VN000000BVH3,Vietnam,2016,271.64853577,,
BAOVIET HOLDINGS,VN000000BVH3,Vietnam,2017,262.04291062,,
BAOVIET HOLDINGS,VN000000BVH3,Vietnam,2018,264.32567266,,
BAOVIET HOLDINGS,VN000000BVH3,Vietnam,2019,226.03764512,,
BAOVIET HOLDINGS,VN000000BVH3,Vietnam,2020,210.61607877,,
BAOVIET HOLDINGS,VN000000BVH3,Vietnam,2021,255.43428208,,
BAOVIET HOLDINGS,VN000000BVH3,Vietnam,2022,310.52564485,,
BAOVIET HOLDINGS,VN000000BVH3,Vietnam,2023,269.1759704,,
BAOVIET HOLDINGS,VN000000BVH3,Vietnam,2024,281.35983272,,
BECAMEX INFR.DEVELOPMENT,VN000000IJC4,Vietnam,2015,203.66951255,,
BECAMEX INFR.DEVELOPMENT,VN000000IJC4,Vietnam,2016,248.02046735,,
BECAMEX INFR.DEVELOPMENT,VN000000IJC4,Vietnam,2017,213.23040832,,
BECAMEX INFR.DEVELOPMENT,VN000000IJC4,Vietnam,2018,284.41122506,,
BECAMEX INFR.DEVELOPMENT,VN000000IJC4,Vietnam,2019,308.9428882,,
BECAMEX INFR.DEVELOPMENT,VN000000IJC4,Vietnam,2020,268.37119177,,
BECAMEX INFR.DEVELOPMENT,VN000000IJC4,Vietnam,2021,206.81148853,,
BECAMEX INFR.DEVELOPMENT,VN000000IJC4,Vietnam,2022,221.0633977,,
BECAMEX INFR.DEVELOPMENT,VN000000IJC4,Vietnam,2023,418.7541233,,
BECAMEX INFR.DEVELOPMENT,VN000000IJC4,Vietnam,2024,469.16289117,,
BECAMEX INV.&.INDV. GP.,VN000000BCM3,Vietnam,2015,275.89511298,,
BECAMEX INV.&.INDV. GP.,VN000000BCM3,Vietnam,2016,245.71165355,,
BECAMEX INV.&.INDV. GP.,VN000000BCM3,Vietnam,2018,320.91369764,,
BECAMEX INV.&.INDV. GP.,VN000000BCM3,Vietnam,2019,367.5358569,,
BECAMEX INV.&.INDV. GP.,VN000000BCM3,Vietnam,2020,337.47226444,,
BECAMEX INV.&.INDV. GP.,VN000000BCM3,Vietnam,2021,275.12743313,,
BECAMEX INV.&.INDV. GP.,VN000000BCM3,Vietnam,2022,278.94762303,,
BECAMEX INV.&.INDV. GP.,VN000000BCM3,Vietnam,2023,466.13476935,,
BECAMEX INV.&.INDV. GP.,VN000000BCM3,Vietnam,2024,502.25458384,,
BEN THANH RUBBER,VN000000BRC2,Vietnam,2015,453.90614834,,
BEN THANH RUBBER,VN000000BRC2,Vietnam,2016,370.47204201,,
BEN THANH RUBBER,VN000000BRC2,Vietnam,2017,369.29604343,,
BEN THANH RUBBER,VN000000BRC2,Vietnam,2018,376.78718022,,
BEN THANH RUBBER,VN000000BRC2,Vietnam,2019,559.34413478,,
BEN THANH RUBBER,VN000000BRC2,Vietnam,2020,967.82787694,,
BEN THANH RUBBER,VN000000BRC2,Vietnam,2021,1194.30363275,,
BEN THANH RUBBER,VN000000BRC2,Vietnam,2022,1096.26255459,,
BEN THANH RUBBER,VN000000BRC2,Vietnam,2023,985.44051612,,
BEN THANH RUBBER,VN000000BRC2,Vietnam,2024,1024.28586972,,
BEN THANH TRADING &,VN000000BTT2,Vietnam,2015,93.55988777,,
BEN THANH TRADING &,VN000000BTT2,Vietnam,2016,97.67364001,,
BEN THANH TRADING &,VN000000BTT2,Vietnam,2017,111.25174907,,
BEN THANH TRADING &,VN000000BTT2,Vietnam,2018,140.38110797,,
BEN THANH TRADING &,VN000000BTT2,Vietnam,2019,186.62249232,,
BEN THANH TRADING &,VN000000BTT2,Vietnam,2020,250.1990373,,
BEN THANH TRADING &,VN000000BTT2,Vietnam,2021,292.85224799,,
BEN THANH TRADING &,VN000000BTT2,Vietnam,2022,281.25586591,,
BEN THANH TRADING &,VN000000BTT2,Vietnam,2023,231.45774703,,
BEN THANH TRADING &,VN000000BTT2,Vietnam,2024,251.65434069,,
BEN TRE AQUAPRODUCT,VN000000ABT2,Vietnam,2015,570.01511884,,
BEN TRE AQUAPRODUCT,VN000000ABT2,Vietnam,2016,609.42657483,,
BEN TRE AQUAPRODUCT,VN000000ABT2,Vietnam,2017,634.85582014,,
BEN TRE AQUAPRODUCT,VN000000ABT2,Vietnam,2018,635.99595577,,
BEN TRE AQUAPRODUCT,VN000000ABT2,Vietnam,2019,652.84776759,,
BEN TRE AQUAPRODUCT,VN000000ABT2,Vietnam,2020,636.73802361,,
BEN TRE AQUAPRODUCT,VN000000ABT2,Vietnam,2021,679.25345494,,
BEN TRE AQUAPRODUCT,VN000000ABT2,Vietnam,2022,706.58233304,,
BEN TRE AQUAPRODUCT,VN000000ABT2,Vietnam,2023,618.67762072,,
BEN TRE AQUAPRODUCT,VN000000ABT2,Vietnam,2024,654.7309745,,
BEN TRE PHARMACE,VN000000DBT6,Vietnam,2015,81.41376854,,
BEN TRE PHARMACE,VN000000DBT6,Vietnam,2016,86.42476062,,
BEN TRE PHARMACE,VN000000DBT6,Vietnam,2017,138.15499794,,
BEN TRE PHARMACE,VN000000DBT6,Vietnam,2018,137.88824048,,
BEN TRE PHARMACE,VN000000DBT6,Vietnam,2019,143.99208722,,
BEN TRE PHARMACE,VN000000DBT6,Vietnam,2020,151.10634067,,
BEN TRE PHARMACE,VN000000DBT6,Vietnam,2021,156.85035435,,
BEN TRE PHARMACE,VN000000DBT6,Vietnam,2022,210.50705964,,
BEN TRE PHARMACE,VN000000DBT6,Vietnam,2023,214.88737813,,
BEN TRE PHARMACE,VN000000DBT6,Vietnam,2024,209.3034349,,
BIDV INSURANCE,VN000000BIC1,Vietnam,2015,206.98606411,,
BIDV INSURANCE,VN000000BIC1,Vietnam,2016,221.12090049,,
BIDV INSURANCE,VN000000BIC1,Vietnam,2017,221.66099106,,
BIDV INSURANCE,VN000000BIC1,Vietnam,2018,225.79455185,,
BIDV INSURANCE,VN000000BIC1,Vietnam,2019,183.18891662,,
BIDV INSURANCE,VN000000BIC1,Vietnam,2020,152.74653803,,
BIDV INSURANCE,VN000000BIC1,Vietnam,2021,161.89157852,,
BIDV INSURANCE,VN000000BIC1,Vietnam,2022,161.66252735,,
BIDV INSURANCE,VN000000BIC1,Vietnam,2023,122.68694048,,
BIDV INSURANCE,VN000000BIC1,Vietnam,2024,112.42322459,,
BIDV SECURITIES,VN000000BSI7,Vietnam,2015,371.90150237,,
BIDV SECURITIES,VN000000BSI7,Vietnam,2016,1051.76473916,,
BIDV SECURITIES,VN000000BSI7,Vietnam,2017,465.45257157,,
BIDV SECURITIES,VN000000BSI7,Vietnam,2018,210.43662372,,
BIDV SECURITIES,VN000000BSI7,Vietnam,2019,599.02535198,,
BIDV SECURITIES,VN000000BSI7,Vietnam,2020,246.52548565,,
BIDV SECURITIES,VN000000BSI7,Vietnam,2021,197.98477357,,
BIDV SECURITIES,VN000000BSI7,Vietnam,2022,291.55001137,,
BIDV SECURITIES,VN000000BSI7,Vietnam,2023,273.79267833,,
BIDV SECURITIES,VN000000BSI7,Vietnam,2024,342.62001446,,
BIEN HOA PACKAGING,VN000000SVI5,Vietnam,2015,610.63367186,,
BIEN HOA PACKAGING,VN000000SVI5,Vietnam,2016,670.02784581,,
BIEN HOA PACKAGING,VN000000SVI5,Vietnam,2017,690.64650907,,
BIEN HOA PACKAGING,VN000000SVI5,Vietnam,2018,694.68869498,,
BIEN HOA PACKAGING,VN000000SVI5,Vietnam,2019,708.8157024,,
BIEN HOA PACKAGING,VN000000SVI5,Vietnam,2020,765.64372941,,
BIEN HOA PACKAGING,VN000000SVI5,Vietnam,2021,789.65211265,,
BIEN HOA PACKAGING,VN000000SVI5,Vietnam,2022,791.5365833,,
